from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9003200,9003201,2,540,,
9003200,9003205,2,480,,
9003201,9003200,2,540,,
9003201,9003205,2,300,,
9003205,9003200,2,480,,
9003205,9003201,2,300,,
9005208,9100020,2,240,,
9005208,9100022,2,300,,
9005208,9100720,2,5940,,
9005208,9100721,2,5940,,
9005208,9100722,2,5940,,
9007104,9007108,2,300,,
9007108,9007104,2,300,,
9008102,9008104,2,180,,
9008103,9009104,2,420,,
9008104,9008102,2,180,,
9009104,9008103,2,420,,
9020201,9020207,2,300,,
9020204,9026207,2,300,,
9020207,9020201,2,300,,
9023306,9023304,2,180,,
9024101,9024108,2,300,,
9024101,9024200,2,5940,,
9024101,9024202,2,420,,
9024106,9026202,2,360,,
9024108,9024101,2,300,,
9024108,9024200,2,5940,,
9024108,9024202,2,5940,,
9024200,9024101,2,5940,,
9024200,9024108,2,5940,,
9024200,9024202,2,180,,
9024202,9024101,2,420,,
9024202,9024108,2,5940,,
9024202,9024200,2,180,,
9024203,9024204,2,240,,
9024203,9024252,2,180,,
9024204,9024203,2,240,,
9024204,9024252,2,5940,,
9024252,9024203,2,180,,
9024252,9024204,2,5940,,
9025101,9025424,2,300,,
9025203,9025301,2,1380,,
9025203,9025321,2,1020,,
9025301,9025203,2,1380,,
9025301,9025321,2,360,,
9025321,9025203,2,1020,,
9025321,9025301,2,360,,
9025424,9025101,2,300,,
9026201,9026203,2,180,,
9026202,9024106,2,360,,
9026203,9026201,2,180,,
9026203,9026271,2,5940,,
9026207,9020204,2,300,,
9026271,9026201,2,180,,
9026271,9026203,2,5940,,
9029101,9029302,2,360,,
9029302,9029101,2,360,,
9037205,9037208,2,120,,
9037208,9037205,2,120,,
9038201,9038203,2,180,,
9038203,9038201,2,180,,
9049101,9220102,2,180,,
9049241,9049258,2,180,,
9049258,9049241,2,180,,
9049301,9049372,2,240,,
9049372,9049301,2,240,,
9049374,9220068,2,360,,
9054101,9054106,2,360,,
9054106,9054101,2,360,,
9057101,9057102,2,180,,
9057101,9057103,2,5940,,
9057101,9058103,2,5940,,
9057101,9058108,2,5940,,
9057102,9057101,2,180,,
9057102,9057103,2,240,,
9057102,9058103,2,600,,
9057102,9058108,2,5940,,
9057103,9057101,2,5940,,
9057103,9057102,2,240,,
9057103,9058103,2,240,,
9057103,9058108,2,5940,,
9058100,9058101,2,360,,
9058101,9058100,2,360,,
9058103,9057101,2,5940,,
9058103,9057102,2,600,,
9058103,9057103,2,240,,
9058103,9058108,2,180,,
9058108,9057101,2,5940,,
9058108,9057102,2,5940,,
9058108,9057103,2,5940,,
9058108,9058103,2,180,,
9060101,9060153,2,300,,
9060153,9060101,2,300,,
9062202,9062281,2,180,,
9062202,9062282,2,180,,
9062202,9062781,2,240,,
9062202,9062782,2,300,,
9062202,9062783,2,300,,
9062202,9062784,2,180,,
9062281,9062202,2,180,,
9062281,9062282,2,120,,
9062281,9062781,2,240,,
9062281,9062782,2,300,,
9062281,9062783,2,180,,
9062281,9062784,2,120,,
9062282,9062202,2,180,,
9062282,9062281,2,120,,
9062282,9062781,2,180,,
9062282,9062782,2,240,,
9062282,9062783,2,240,,
9062282,9062784,2,120,,
9062781,9062202,2,240,,
9062781,9062281,2,240,,
9062781,9062282,2,180,,
9062781,9062782,2,180,,
9062781,9062783,2,180,,
9062781,9062784,2,180,,
9062782,9062202,2,300,,
9062782,9062281,2,300,,
9062782,9062282,2,240,,
9062782,9062781,2,180,,
9062782,9062783,2,240,,
9062782,9062784,2,180,,
9062783,9062202,2,300,,
9062783,9062281,2,180,,
9062783,9062282,2,240,,
9062783,9062781,2,180,,
9062783,9062782,2,240,,
9062783,9062784,2,240,,
9062784,9062202,2,180,,
9062784,9062281,2,120,,
9062784,9062282,2,120,,
9062784,9062781,2,180,,
9062784,9062782,2,180,,
9062784,9062783,2,240,,
9066101,9066150,2,240,,
9066150,9066101,2,240,,
9068104,9068106,2,480,,
9068106,9068104,2,480,,
9068152,9068158,2,480,,
9068158,9068152,2,480,,
9069201,9069211,2,60,,
9069201,9069271,2,5940,,
9069211,9069201,2,60,,
9069211,9069271,2,180,,
9069251,9069262,2,240,,
9069262,9069251,2,240,,
9069271,9069201,2,5940,,
9069271,9069211,2,180,,
9076155,9077171,2,180,,
9077171,9076155,2,180,,
9078101,9078104,2,180,,
9078101,9078105,2,300,,
9078101,9078106,2,240,,
9078104,9078101,2,180,,
9078104,9078105,2,180,,
9078104,9078106,2,360,,
9078105,9078101,2,300,,
9078105,9078104,2,180,,
9078105,9078106,2,360,,
9078106,9078101,2,240,,
9078106,9078104,2,360,,
9078106,9078105,2,360,,
9078151,9078172,2,180,,
9078172,9078151,2,180,,
9078201,9078271,2,5940,,
9078201,9078272,2,180,,
9078201,9078273,2,240,,
9078271,9078201,2,5940,,
9078271,9078272,2,180,,
9078271,9078273,2,5940,,
9078272,9078201,2,180,,
9078272,9078271,2,180,,
9078272,9078273,2,180,,
9078273,9078201,2,240,,
9078273,9078271,2,5940,,
9078273,9078272,2,180,,
9079220,9079221,2,180,,
9079221,9079220,2,180,,
9080202,9080204,2,240,,
9080204,9080202,2,180,,
9082201,9082205,2,360,,
9082205,9082201,2,360,,
9082257,9083102,2,300,,
9083102,9082257,2,300,,
9083152,9083202,2,180,,
9083202,9083152,2,180,,
9085104,9085105,2,480,,
9085105,9085104,2,480,,
9085202,9085252,2,300,,
9085252,9085202,2,300,,
9089301,9089303,2,360,,
9089301,9089304,2,5940,,
9089301,9089372,2,180,,
9089301,9089375,2,5940,,
9089301,9089451,2,5940,,
9089303,9089301,2,360,,
9089303,9089304,2,240,,
9089303,9089372,2,5940,,
9089303,9089375,2,180,,
9089303,9089451,2,360,,
9089304,9089301,2,5940,,
9089304,9089303,2,240,,
9089304,9089372,2,5940,,
9089304,9089375,2,5940,,
9089304,9089451,2,5940,,
9089372,9089301,2,180,,
9089372,9089303,2,5940,,
9089372,9089304,2,5940,,
9089372,9089375,2,5940,,
9089372,9089451,2,5940,,
9089375,9089301,2,5940,,
9089375,9089303,2,180,,
9089375,9089304,2,5940,,
9089375,9089372,2,5940,,
9089375,9089451,2,5940,,
9089451,9089301,2,5940,,
9089451,9089303,2,360,,
9089451,9089304,2,5940,,
9089451,9089372,2,5940,,
9089451,9089375,2,5940,,
9093102,9093156,2,300,,
9093102,9093201,2,420,,
9093156,9093102,2,300,,
9093156,9093201,2,5940,,
9093201,9093102,2,420,,
9093201,9093156,2,5940,,
9096101,9096193,2,300,,
9096101,9096197,2,240,,
9096101,9096198,2,240,,
9096101,9096407,2,5940,,
9096193,9096101,2,300,,
9096193,9096197,2,5940,,
9096193,9096198,2,5940,,
9096193,9096407,2,5940,,
9096197,9096101,2,240,,
9096197,9096193,2,5940,,
9096197,9096198,2,180,,
9096197,9096407,2,180,,
9096198,9096101,2,240,,
9096198,9096193,2,5940,,
9096198,9096197,2,180,,
9096198,9096407,2,5940,,
9096407,9096101,2,5940,,
9096407,9096193,2,5940,,
9096407,9096197,2,180,,
9096407,9096198,2,5940,,
9100003,9100005,2,420,,
9100003,9100006,2,240,,
9100003,9100024,2,180,,
9100003,9100026,2,180,,
9100003,9100030,2,5940,,
9100003,9100031,2,420,,
9100005,9100003,2,420,,
9100005,9100006,2,240,,
9100005,9100024,2,5940,,
9100005,9100026,2,5940,,
9100005,9100030,2,5940,,
9100005,9100031,2,5940,,
9100006,9100003,2,240,,
9100006,9100005,2,240,,
9100006,9100024,2,5940,,
9100006,9100026,2,5940,,
9100006,9100030,2,5940,,
9100006,9100031,2,5940,,
9100011,9100018,2,180,,
9100011,9100528,2,180,,
9100011,9100701,2,180,,
9100014,9100516,2,180,,
9100018,9100011,2,180,,
9100018,9100528,2,300,,
9100018,9100701,2,420,,
9100020,9005208,2,240,,
9100020,9100022,2,180,,
9100020,9100720,2,240,,
9100020,9100721,2,240,,
9100020,9100722,2,300,,
9100022,9005208,2,300,,
9100022,9100020,2,180,,
9100022,9100720,2,240,,
9100022,9100721,2,240,,
9100022,9100722,2,360,,
9100024,9100003,2,180,,
9100024,9100005,2,5940,,
9100024,9100006,2,5940,,
9100024,9100026,2,120,,
9100024,9100030,2,5940,,
9100024,9100031,2,5940,,
9100025,9100037,2,300,,
9100026,9100003,2,180,,
9100026,9100005,2,5940,,
9100026,9100006,2,5940,,
9100026,9100024,2,120,,
9100026,9100030,2,5940,,
9100026,9100031,2,5940,,
9100027,9100513,2,300,,
9100030,9100003,2,5940,,
9100030,9100005,2,5940,,
9100030,9100006,2,5940,,
9100030,9100024,2,5940,,
9100030,9100026,2,5940,,
9100030,9100031,2,60,,
9100031,9100003,2,420,,
9100031,9100005,2,5940,,
9100031,9100006,2,5940,,
9100031,9100024,2,5940,,
9100031,9100026,2,5940,,
9100031,9100030,2,60,,
9100037,9100025,2,300,,
9100045,9100539,2,180,,
9100051,9100080,2,180,,
9100080,9100051,2,180,,
9100501,9100536,2,180,,
9100513,9100027,2,300,,
9100516,9100014,2,180,,
9100526,9100531,2,300,,
9100528,9100011,2,180,,
9100528,9100018,2,300,,
9100528,9100701,2,420,,
9100539,9100045,2,180,,
9100701,9100011,2,180,,
9100701,9100018,2,420,,
9100701,9100528,2,420,,
9100720,9005208,2,5940,,
9100720,9100020,2,240,,
9100720,9100022,2,240,,
9100720,9100721,2,180,,
9100720,9100722,2,240,,
9100721,9005208,2,5940,,
9100721,9100020,2,240,,
9100721,9100022,2,240,,
9100721,9100720,2,180,,
9100721,9100722,2,300,,
9100722,9005208,2,5940,,
9100722,9100020,2,300,,
9100722,9100022,2,360,,
9100722,9100720,2,240,,
9100722,9100721,2,300,,
9110009,9110006,2,120,,
9110012,9160504,2,300,,
9110502,9110503,2,360,,
9110503,9110502,2,360,,
9110514,9110518,2,120,,
9120004,9120011,2,360,,
9120004,9120021,2,480,,
9120011,9120004,2,360,,
9120011,9120020,2,120,,
9120011,9120021,2,240,,
9120017,9120016,2,180,,
9120020,9120021,2,180,,
9120502,9120536,2,240,,
9120519,9160535,2,420,,
9120520,9120532,2,240,,
9120526,9120527,2,60,,
9120526,9120528,2,5940,,
9120527,9120526,2,60,,
9120527,9120528,2,60,,
9120528,9120526,2,5940,,
9120528,9120527,2,60,,
9120532,9120520,2,240,,
9120536,9120502,2,240,,
9130002,9130500,2,240,,
9130500,9130002,2,240,,
9131005,9131528,2,120,,
9131528,9131005,2,120,,
9135003,9135514,2,180,,
9135514,9135003,2,180,,
9140012,9140519,2,300,,
9140519,9140012,2,300,,
9150010,9150514,2,60,,
9150514,9150010,2,60,,
9152004,9152505,2,240,,
9152505,9152004,2,240,,
9160002,9161509,2,480,,
9160003,9160534,2,120,,
9160004,9160020,2,420,,
9160004,9160021,2,600,,
9160004,9160545,2,5940,,
9160004,9160548,2,300,,
9160004,9160701,2,240,,
9160004,9160702,2,300,,
9160004,9160703,2,360,,
9160004,9160704,2,360,,
9160004,9160742,2,360,,
9160004,9160743,2,360,,
9160005,9160530,2,300,,
9160010,9160509,2,240,,
9160016,9160526,2,120,,
9160020,9160004,2,420,,
9160020,9160021,2,240,,
9160020,9160545,2,120,,
9160020,9160548,2,5940,,
9160020,9160701,2,240,,
9160020,9160702,2,360,,
9160020,9160703,2,360,,
9160020,9160704,2,5940,,
9160020,9160742,2,5940,,
9160020,9160743,2,5940,,
9160021,9160004,2,600,,
9160021,9160020,2,240,,
9160021,9160545,2,180,,
9160021,9160548,2,5940,,
9160021,9160701,2,420,,
9160021,9160702,2,480,,
9160021,9160703,2,540,,
9160021,9160704,2,5940,,
9160021,9160742,2,5940,,
9160021,9160743,2,5940,,
9160504,9110012,2,300,,
9160509,9160010,2,240,,
9160526,9160016,2,120,,
9160527,9160528,2,180,,
9160528,9160527,2,180,,
9160530,9160005,2,300,,
9160532,9160533,2,180,,
9160533,9160532,2,180,,
9160534,9160003,2,120,,
9160535,9120519,2,420,,
9160545,9160004,2,5940,,
9160545,9160020,2,120,,
9160545,9160021,2,180,,
9160545,9160548,2,5940,,
9160545,9160701,2,5940,,
9160545,9160702,2,5940,,
9160545,9160703,2,5940,,
9160545,9160704,2,5940,,
9160545,9160742,2,5940,,
9160545,9160743,2,5940,,
9160548,9160004,2,300,,
9160548,9160020,2,5940,,
9160548,9160021,2,5940,,
9160548,9160545,2,5940,,
9160548,9160701,2,5940,,
9160548,9160702,2,360,,
9160548,9160703,2,420,,
9160548,9160704,2,420,,
9160548,9160742,2,5940,,
9160548,9160743,2,5940,,
9160701,9160004,2,240,,
9160701,9160020,2,240,,
9160701,9160021,2,420,,
9160701,9160545,2,5940,,
9160701,9160548,2,5940,,
9160701,9160702,2,120,,
9160701,9160703,2,180,,
9160701,9160704,2,180,,
9160701,9160742,2,5940,,
9160701,9160743,2,5940,,
9160702,9160004,2,300,,
9160702,9160020,2,360,,
9160702,9160021,2,480,,
9160702,9160545,2,5940,,
9160702,9160548,2,360,,
9160702,9160701,2,120,,
9160702,9160703,2,60,,
9160702,9160704,2,120,,
9160702,9160742,2,5940,,
9160702,9160743,2,5940,,
9160703,9160004,2,360,,
9160703,9160020,2,360,,
9160703,9160021,2,540,,
9160703,9160545,2,5940,,
9160703,9160548,2,420,,
9160703,9160701,2,180,,
9160703,9160702,2,60,,
9160703,9160704,2,120,,
9160703,9160742,2,5940,,
9160703,9160743,2,5940,,
9160704,9160004,2,360,,
9160704,9160020,2,5940,,
9160704,9160021,2,5940,,
9160704,9160545,2,5940,,
9160704,9160548,2,420,,
9160704,9160701,2,180,,
9160704,9160702,2,120,,
9160704,9160703,2,120,,
9160704,9160742,2,5940,,
9160704,9160743,2,5940,,
9160742,9160004,2,360,,
9160742,9160020,2,5940,,
9160742,9160021,2,5940,,
9160742,9160545,2,5940,,
9160742,9160548,2,5940,,
9160742,9160701,2,5940,,
9160742,9160702,2,5940,,
9160742,9160703,2,5940,,
9160742,9160704,2,5940,,
9160742,9160743,2,60,,
9160743,9160004,2,360,,
9160743,9160020,2,5940,,
9160743,9160021,2,5940,,
9160743,9160545,2,5940,,
9160743,9160548,2,5940,,
9160743,9160701,2,5940,,
9160743,9160702,2,5940,,
9160743,9160703,2,5940,,
9160743,9160704,2,5940,,
9160743,9160742,2,60,,
9161003,9161512,2,120,,
9161509,9160002,2,480,,
9161512,9161003,2,120,,
9162001,9162003,2,600,,
9162001,9162501,2,180,,
9162003,9162001,2,600,,
9162003,9162501,2,180,,
9162501,9162001,2,180,,
9162501,9162003,2,180,,
9171001,9171531,2,360,,
9171531,9171001,2,360,,
9175013,9176517,2,420,,
9176001,9176007,2,180,,
9176004,9176010,2,180,,
9176007,9176001,2,180,,
9176010,9176004,2,180,,
9176509,9176510,2,180,,
9176510,9176509,2,180,,
9176517,9175013,2,420,,
9180006,9180024,2,240,,
9180017,9180549,2,120,,
9180538,9192002,2,240,,
9180549,9180017,2,120,,
9183003,9183515,2,840,,
9183502,9183515,2,780,,
9183515,9183003,2,840,,
9183515,9183502,2,780,,
9184001,9184508,2,720,,
9184508,9184001,2,720,,
9185505,9186501,2,660,,
9186501,9185505,2,660,,
9190001,9190006,2,1800,,
9190001,9190100,2,300,,
9190006,9190001,2,1800,,
9190006,9190100,2,360,,
9190100,9190001,2,300,,
9191001,9191004,2,300,,
9191004,9191001,2,300,,
9192001,9192701,2,180,,
9192001,9192702,2,180,,
9192001,9192703,2,300,,
9192001,9194006,2,240,,
9192002,9180538,2,240,,
9192701,9192001,2,180,,
9192701,9192702,2,60,,
9192701,9192703,2,240,,
9192701,9194006,2,240,,
9192702,9192001,2,180,,
9192702,9192701,2,60,,
9192702,9192703,2,240,,
9192702,9194006,2,240,,
9192703,9192001,2,300,,
9192703,9192701,2,240,,
9192703,9192702,2,240,,
9192703,9194006,2,480,,
9193002,9193510,2,360,,
9194006,9192001,2,240,,
9194006,9192701,2,240,,
9194006,9192702,2,240,,
9194006,9192703,2,480,,
9195520,9195006,2,240,,
9200010,9203402,2,420,,
9200012,9203411,2,900,,
9200013,9200018,2,180,,
9200018,9200013,2,180,,
9200026,9200029,2,240,,
9200029,9200026,2,240,,
9200033,9200048,2,360,,
9200043,9203691,2,1080,,
9200043,9203692,2,1080,,
9200048,9200033,2,360,,
9203402,9200010,2,420,,
